Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Estonia,--,--,--,--,--,--,--,--,--,--,--,--,0.29165,0.18966,0.18979,0.1756,0.22544,0.21632,0.2312,0.19224,0.1963,0.20389,0.20339,0.22365,0.23264,0.23214,0.23107,0.24743,0.24405
Former U.S.S.R.,46.73513,47.22093,49.26201,50.41837,53.41549,55.68861,57.47549,58.82369,60.75979,60.06943,60.97557,57.60268,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,--,--,--,--,--,--,--,--,--,--,--,--,0.32759,0.19109,0.1548,0.15086,0.15873,0.16348,0.16531,0.14406,0.13752,0.12619,0.14756,0.13234,0.13504,0.15002,0.13792,0.16431,0.16743
Kazakhstan,--,--,--,--,--,--,--,--,--,--,--,--,3.42894,2.85513,2.29445,1.90435,1.96301,1.68726,1.62533,1.79159,1.93239,2.00755,2.06518,1.91983,2.18233,2.20895,2.39445,2.31985,2.16926
Kyrgyzstan,--,--,--,--,--,--,--,--,--,--,--,--,0.29244,0.24353,0.2343,0.19044,0.22943,0.21813,0.21854,0.23592,0.24136,0.22777,0.19289,0.20385,0.21189,0.21021,0.21543,0.20798,0.18374
Latvia,--,--,--,--,--,--,--,--,--,--,--,--,0.22314,0.16423,0.16171,0.17263,0.17215,0.16174,0.16027,0.14799,0.15412,0.16092,0.15399,0.16068,0.17569,0.18532,0.18437,0.18628,0.16289
Lithuania,--,--,--,--,--,--,--,--,--,--,--,--,0.47702,0.37634,0.35493,0.37862,0.36093,0.35896,0.39095,0.30442,0.2973,0.31679,0.34054,0.35264,0.35316,0.35257,0.35275,0.38578,0.3934
Moldova,--,--,--,--,--,--,--,--,--,--,--,--,0.28316,0.20184,0.15647,0.1392,0.15137,0.15359,0.13853,0.11022,0.11014,0.10728,0.11896,0.1305,0.12268,0.1338,0.14305,0.13297,0.13797
Russia,--,--,--,--,--,--,--,--,--,--,--,--,34.11568,30.58388,29.22517,27.94068,27.35318,25.53854,25.72275,26.77771,27.21899,27.22593,27.67507,28.51231,29.36966,29.52035,28.81788,29.96851,30.42593
Tajikistan,--,--,--,--,--,--,--,--,--,--,--,--,0.28994,0.25421,0.25274,0.20849,0.22971,0.2189,0.2264,0.24176,0.23909,0.24705,0.25201,0.27054,0.27419,0.28561,0.28146,0.27971,0.25539
Turkmenistan,--,--,--,--,--,--,--,--,--,--,--,--,0.31126,0.27038,0.28682,0.30405,0.29793,0.30586,0.28061,0.31785,0.40112,0.50227,0.58452,0.75923,0.80707,0.85443,0.8638,0.92401,0.99517
Ukraine,--,--,--,--,--,--,--,--,--,--,--,--,8.57337,8.08747,7.00352,6.91332,6.33645,6.06835,5.85077,5.75359,5.75077,5.64105,5.82162,6.28253,6.25427,6.37205,5.906,6.33949,6.30195
Uzbekistan,--,--,--,--,--,--,--,--,--,--,--,--,1.66187,2.03098,1.74539,1.8688,1.8794,1.87558,1.84477,1.86382,1.95472,2.04481,2.09616,2.12792,2.25401,2.1614,2.22683,2.22657,2.35342
Bahrain,0.13752,0.15787,0.16794,0.17792,0.17157,0.20492,0.22078,0.26522,0.22898,0.23439,0.25635,0.28713,0.24078,0.27663,0.28338,0.28363,0.28439,0.33517,0.35172,0.35646,0.36474,0.37722,0.39762,0.40773,0.41884,0.45747,0.49947,0.52436,0.54832
Iran,1.58261,1.48862,1.70731,2.09302,2.22534,2.39652,2.42887,2.54105,2.70365,2.98498,3.10319,3.23305,3.356,3.2392,3.68527,3.82476,3.96104,4.4335,4.58254,4.83492,5.0136,5.38754,5.88814,6.17977,6.39448,7.31781,7.66571,7.89668,8.12059
Iraq,0.52402,0.48294,0.4624,0.55081,0.53817,0.56653,0.62292,0.63925,0.76751,0.82522,0.91771,0.6001,0.83887,0.84464,1.10244,1.13058,1.12469,1.04127,1.05605,1.07373,1.08419,1.13411,1.14428,1.0122,1.12508,1.18546,1.16836,1.2565,1.35914
Israel,0.35096,0.35707,0.37468,0.36977,0.3814,0.35678,0.37165,0.39237,0.42507,0.44373,0.45182,0.47963,0.54028,0.53244,0.61975,0.62197,0.66144,0.71418,0.7261,0.73572,0.81129,0.87407,0.8409,0.85308,0.85549,0.87581,0.88357,0.87777,0.85957
Jordan,0.07704,0.09157,0.10455,0.11201,0.11582,0.12027,0.12935,0.14108,0.13173,0.13508,0.14553,0.1376,0.16057,0.14067,0.1836,0.1931,0.20535,0.19888,0.21528,0.21447,0.22545,0.22025,0.23061,0.25148,0.27821,0.29423,0.30837,0.30975,0.30511
Kuwait,0.48089,0.35214,0.35013,0.3885,0.4067,0.40268,0.45144,0.53896,0.61897,0.6963,0.44637,0.21583,0.3488,0.41377,0.57307,0.59178,0.74935,0.798,0.84566,0.86067,0.90963,0.88264,0.88761,0.96046,1.00698,1.15851,1.14497,1.13625,1.19296
Lebanon,0.10473,0.09745,0.09447,0.09773,0.09399,0.10834,0.10323,0.10697,0.09781,0.07744,0.07142,0.11807,0.11896,0.14042,0.17031,0.18276,0.19219,0.21977,0.22429,0.23013,0.23433,0.22499,0.22859,0.23803,0.22844,0.21854,0.19424,0.17922,0.20464
Oman,0.06467,0.06873,0.08358,0.09677,0.10035,0.11874,0.13477,0.13861,0.13042,0.16839,0.18358,0.20997,0.20445,0.22356,0.23685,0.22439,0.23107,0.26757,0.34683,0.30098,0.34089,0.34692,0.36024,0.3566,0.38096,0.48919,0.56151,0.59225,0.71283
Palestine,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00957,0.01471,0.01499,0.01978,0.0266,0.02469,0.02643,0.04026,0.04934,0.05351,0.05453,0.05632
Qatar,0.2143,0.202,0.23742,0.22323,0.26846,0.24321,0.25573,0.26227,0.26799,0.27809,0.34252,0.39711,0.47494,0.53468,0.55856,0.5629,0.57852,0.61006,0.62262,0.5938,0.64476,0.5025,0.5271,0.58437,0.70528,0.84411,0.90625,0.94693,1.00217
Saudi Arabia,1.66331,2.02483,1.96743,2.12312,2.46675,2.71018,3.01461,3.07255,3.18356,3.12648,3.3474,3.49925,3.6636,2.90916,3.90046,3.82572,4.10441,4.3656,4.54323,4.60224,4.85276,5.1387,5.38353,5.76125,6.20771,6.59341,6.91564,6.25568,6.72754
Syria,0.27405,0.28914,0.29523,0.33399,0.36831,0.38492,0.38388,0.43466,0.45274,0.48254,0.56278,0.52102,0.53779,0.5452,0.63357,0.60911,0.65218,0.69498,0.7525,0.77364,0.78206,0.76222,0.83027,0.82867,0.84816,0.80629,0.81859,0.81826,0.83604
United Arab Emirates,0.26731,0.43622,0.41384,0.5109,0.58179,0.79708,0.90726,1.07115,1.17287,1.2686,1.22933,1.49165,1.61408,1.46204,1.49157,1.60656,1.66878,1.77107,1.83821,1.86471,1.8663,1.89112,2.05573,2.1047,2.21903,2.31365,2.53901,2.82421,3.25749
Yemen,0.09609,0.09778,0.11456,0.10413,0.13211,0.14669,0.14115,0.14022,0.14387,0.15439,0.16025,0.16598,0.17264,0.12871,0.13769,0.14988,0.15258,0.15864,0.17072,0.17888,0.19367,0.20573,0.22587,0.24444,0.2463,0.25679,0.28046,0.25545,0.31453
Algeria,0.80085,0.68005,0.9578,1.07399,1.15572,1.04784,1.0604,1.1349,1.20786,1.17025,1.2169,1.35505,1.29959,1.08345,1.23763,1.30333,1.26434,1.2026,1.25334,1.25165,1.23857,1.25615,1.27659,1.2927,1.26393,1.48134,1.54318,1.61954,1.70987
Angola,0.05816,0.05805,0.0618,0.06667,0.05992,0.07307,0.07392,0.07532,0.07828,0.07641,0.07983,0.08283,0.08553,0.08089,0.08235,0.0876,0.08436,0.09326,0.08492,0.09419,0.09094,0.1193,0.12741,0.13525,0.14463,0.14826,0.16655,0.19298,0.19944
Benin,0.00659,0.00662,0.00469,0.00686,0.00669,0.00787,0.00764,0.00598,0.00716,0.00768,0.00889,0.01017,0.01141,0.01244,0.01308,0.01428,0.01534,0.01668,0.01787,0.01954,0.02426,0.02449,0.02594,0.03053,0.03556,0.03725,0.04387,0.04777,0.04876
Botswana,0.01518,0.01542,0.01436,0.014,0.01442,0.01906,0.02021,0.02299,0.02467,0.0282,0.03297,0.0342,0.03907,0.0369,0.03956,0.04291,0.03967,0.04159,0.04732,0.04777,0.05757,0.0505,0.05087,0.04879,0.05531,0.05961,0.05976,0.06023,0.06202
Burkina Faso,0.00613,0.00617,0.00618,0.00621,0.00621,0.00591,0.00692,0.00722,0.00738,0.0066,0.00705,0.00812,0.00821,0.00866,0.01017,0.0104,0.01089,0.01705,0.01562,0.01608,0.01662,0.01662,0.01729,0.01803,0.01832,0.01877,0.01862,0.02082,0.02115
Burundi,0.00159,0.0018,0.00159,0.00202,0.00259,0.00277,0.00281,0.00319,0.00471,0.00505,0.00548,0.00606,0.00577,0.00427,0.00674,0.00658,0.00668,0.00676,0.00671,0.00661,0.00658,0.00712,0.00727,0.00729,0.00667,0.00668,0.00638,0.00615,0.00733
Cameroon,0.04713,0.05217,0.06048,0.06024,0.06116,0.06392,0.06991,0.06649,0.06631,0.07724,0.07769,0.07856,0.0788,0.05979,0.07455,0.07634,0.07601,0.08,0.08001,0.07822,0.08132,0.08165,0.07808,0.08387,0.08674,0.08577,0.09245,0.09829,0.09917
Cape Verde,0.00454,0.00453,0.002,0.00196,0.00239,0.00236,0.0008,0.00089,0.00128,0.00137,0.00146,0.0015,0.00159,0.00135,0.00172,0.00168,0.00177,0.00177,0.00177,0.00177,0.0031,0.00208,0.00222,0.00222,0.00427,0.00373,0.0042,0.00493,0.00464
Central African Republic,0.00274,0.00334,0.00358,0.00376,0.00363,0.00358,0.00427,0.0039,0.00412,0.00396,0.00424,0.00441,0.0045,0.00459,0.00484,0.00484,0.00489,0.005,0.00507,0.00507,0.00539,0.00549,0.00565,0.00567,0.00536,0.00531,0.00562,0.00626,0.00602
Chad,0.00407,0.00389,0.00389,0.00389,0.00186,0.00222,0.00399,0.00348,0.00232,0.00238,0.00493,0.00461,0.00464,0.00194,0.00248,0.00247,0.00255,0.00257,0.00257,0.00257,0.00278,0.00284,0.00293,0.00293,0.00272,0.00302,0.00325,0.00379,0.00371
Comoros,0.00063,0.00063,0.00063,0.00063,0.00064,0.00055,0.00055,0.00087,0.00091,0.00092,0.00118,0.00114,0.00114,0.0009,0.00118,0.00118,0.00118,0.00118,0.00123,0.00123,0.00136,0.00141,0.00146,0.00147,0.00151,0.00161,0.00163,0.00201,0.00167
Congo (Brazzaville),0.01194,0.01421,0.01282,0.01141,0.01205,0.01726,0.01512,0.01842,0.01503,0.01726,0.01927,0.01766,0.01681,0.01302,0.01455,0.01472,0.01546,0.01529,0.01435,0.01184,0.01302,0.016,0.0154,0.01722,0.01848,0.02494,0.0286,0.03007,0.03791
Congo (Kinshasa),0.09072,0.09277,0.09408,0.09741,0.09554,0.09769,0.10398,0.09915,0.10981,0.11239,0.10628,0.10518,0.11521,0.1074,0.09838,0.10828,0.10937,0.09877,0.09347,0.09292,0.09171,0.08267,0.07982,0.08113,0.09578,0.09893,0.1006,0.10677,0.10507
Cote dIvoire (IvoryCoast),0.07388,0.08135,0.07638,0.07388,0.06544,0.07711,0.07858,0.08658,0.0905,0.09075,0.07791,0.06585,0.06377,0.06313,0.07474,0.08127,0.10143,0.09546,0.09637,0.12522,0.13277,0.10998,0.10706,0.10982,0.11503,0.1133,0.11395,0.11951,0.12491
Djibouti,0.02205,0.0177,0.01779,0.01314,0.01096,0.01082,0.00974,0.00996,0.00973,0.02304,0.02326,0.02353,0.02359,0.02266,0.02427,0.02416,0.02416,0.0245,0.0245,0.0245,0.02465,0.02502,0.02506,0.02559,0.0259,0.02565,0.02374,0.02319,0.024
Egypt,0.70639,0.82834,0.92715,1.05147,1.15066,1.21268,1.24476,1.29745,1.30184,1.34836,1.43795,1.43262,1.42707,1.37147,1.55625,1.58766,1.72696,1.78956,1.84906,1.92279,2.00513,2.22519,2.25766,2.4329,2.58311,2.72194,2.56473,2.73907,3.16914
Equatorial Guinea,0.00085,0.00084,0.00106,0.00106,0.00106,0.0012,0.00121,0.00116,0.00116,0.00168,0.00173,0.00182,0.00172,0.00181,0.00186,0.00185,0.0019,0.00204,0.00278,0.00278,0.00433,0.00354,0.04942,0.05064,0.0059,0.05036,0.05045,0.05876,0.05986
Eritrea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.01373,0.0152,0.01553,0.01573,0.01684,0.01421,0.00887,0.01051,0.00976,0.01102,0.01037,0.01036,0.01035,0.00973,0.01011
Ethiopia,0.03009,0.03056,0.03403,0.03878,0.03855,0.04553,0.04451,0.05018,0.04922,0.05208,0.05321,0.04599,0.06159,0.05553,0.044,0.04756,0.03972,0.04016,0.05236,0.06132,0.06457,0.06958,0.0745,0.08134,0.08518,0.09097,0.10302,0.11177,0.12093
Gabon,0.02842,0.03203,0.03022,0.04146,0.03733,0.03172,0.02869,0.03333,0.0353,0.04399,0.04332,0.0443,0.04559,0.04055,0.04428,0.04181,0.04341,0.04574,0.04426,0.03995,0.03684,0.0382,0.03796,0.03898,0.0393,0.03841,0.04235,0.04352,0.04765
"Gambia, The",0.00224,0.00223,0.00223,0.00223,0.00246,0.00242,0.00225,0.0026,0.00269,0.00265,0.00271,0.00282,0.00282,0.00299,0.00331,0.00309,0.00308,0.00309,0.00327,0.00327,0.00365,0.00392,0.00401,0.00406,0.00408,0.00423,0.00453,0.00559,0.00525
Ghana,0.08608,0.08299,0.08261,0.05537,0.05144,0.05842,0.07788,0.08511,0.09327,0.10297,0.10037,0.10433,0.11333,0.10665,0.115,0.11703,0.12352,0.12183,0.09528,0.11604,0.14286,0.1419,0.13071,0.12545,0.14495,0.14937,0.15015,0.13327,0.16444
Guinea,0.01374,0.0135,0.01372,0.01373,0.01406,0.01239,0.016,0.01676,0.01713,0.01665,0.02186,0.01738,0.01777,0.01674,0.0187,0.01865,0.01884,0.01978,0.0201,0.02096,0.02176,0.02345,0.02392,0.02207,0.02363,0.02358,0.02306,0.02344,0.02297
Guinea-Bissau,0.00123,0.00123,0.00125,0.00125,0.00168,0.00181,0.00142,0.00262,0.00293,0.00307,0.00388,0.00397,0.004,0.00343,0.00437,0.00432,0.00436,0.00437,0.00437,0.00437,0.00485,0.0049,0.00508,0.00521,0.00518,0.00538,0.00533,0.00551,0.00629
Kenya,0.09913,0.10233,0.10196,0.10309,0.10148,0.10662,0.11327,0.10436,0.1165,0.12534,0.12755,0.1177,0.12609,0.12429,0.13586,0.1424,0.14803,0.13853,0.15282,0.146,0.14535,0.14765,0.15302,0.16879,0.17914,0.19383,0.21236,0.21337,0.20818
Lesotho,0.00212,0.00192,0.00212,0.00212,0.00212,0.00219,0.0022,0.0022,0.0015,0.0022,0.00285,0.0029,0.00306,0.00311,0.00352,0.00357,0.0036,0.00355,0.0032,0.00467,0.00588,0.00598,0.00615,0.00635,0.00595,0.00662,0.00531,0.00566,0.0057
Liberia,0.03184,0.02937,0.02955,0.02942,0.02581,0.0262,0.02118,0.01655,0.02054,0.01685,0.00814,0.00476,0.00483,0.0049,0.00533,0.00533,0.00553,0.00559,0.00577,0.00577,0.00616,0.00652,0.00705,0.00727,0.00735,0.00745,0.00858,0.00942,0.00957
Libya,0.39743,0.3575,0.3539,0.38078,0.38419,0.42109,0.44198,0.45225,0.46429,0.48088,0.51011,0.53234,0.49646,0.44235,0.53086,0.55334,0.58466,0.61762,0.59319,0.55764,0.62988,0.66709,0.69699,0.68428,0.75794,0.77757,0.73594,0.76331,0.78391
Madagascar,0.01891,0.01648,0.0152,0.01936,0.01928,0.02096,0.01523,0.02076,0.02275,0.01724,0.01698,0.01744,0.01853,0.01785,0.02097,0.02178,0.02227,0.02273,0.02332,0.02339,0.03093,0.03335,0.03755,0.03941,0.04278,0.0415,0.04059,0.04007,0.04622
Malawi,0.01192,0.01244,0.01174,0.01072,0.01064,0.01132,0.01148,0.01196,0.01165,0.01306,0.0149,0.01725,0.01744,0.0165,0.01847,0.01906,0.01936,0.01949,0.02088,0.02213,0.02334,0.02387,0.02445,0.02447,0.02725,0.02886,0.02896,0.0311,0.03157
Mali,0.00704,0.00907,0.00726,0.00741,0.00754,0.00814,0.00675,0.00767,0.00482,0.00835,0.00844,0.00868,0.00904,0.0093,0.00953,0.00956,0.00958,0.00988,0.01,0.01001,0.01023,0.01029,0.01102,0.0111,0.01144,0.0125,0.01163,0.01188,0.01234
Mauritania,0.0092,0.00898,0.00909,0.00904,0.01316,0.01301,0.00741,0.01022,0.01311,0.01524,0.01356,0.0143,0.04602,0.03934,0.04727,0.04792,0.04817,0.04856,0.04874,0.04874,0.04976,0.04976,0.04748,0.04879,0.04151,0.04908,0.04206,0.03878,0.03944
Mauritius,0.01366,0.01206,0.012,0.01287,0.01342,0.01444,0.01754,0.0155,0.0212,0.0251,0.02774,0.02774,0.03286,0.03086,0.03249,0.03554,0.03538,0.03581,0.03691,0.03782,0.04918,0.05512,0.04993,0.0516,0.05425,0.05645,0.05963,0.06136,0.06211
Morocco,0.22621,0.21636,0.2182,0.22408,0.20998,0.22413,0.25189,0.25296,0.26609,0.29726,0.30899,0.31944,0.32663,0.30248,0.39049,0.37388,0.39885,0.40594,0.41548,0.43711,0.44698,0.4812,0.48811,0.49113,0.4922,0.49762,0.51642,0.52831,0.55902
Mozambique,0.17546,0.06689,0.06445,0.08622,0.03419,0.03311,0.01812,0.01736,0.02463,0.02016,0.02036,0.02085,0.02042,0.02184,0.02133,0.02241,0.02159,0.02587,0.03217,0.07782,0.10085,0.13068,0.13324,0.13221,0.14246,0.15817,0.17736,0.17863,0.16795
Namibia,--,--,--,--,--,--,--,--,--,--,0.03435,0.01809,0.01694,0.01796,0.0203,0.03191,0.03087,0.03002,0.03332,0.03856,0.0415,0.04742,0.0503,0.05393,0.0569,0.05861,0.0626,0.06488,0.07451
Niger,0.00915,0.00951,0.00999,0.01031,0.01085,0.01088,0.00918,0.01015,0.01359,0.01419,0.01457,0.01466,0.01486,0.015,0.0154,0.01536,0.01526,0.01508,0.01515,0.01495,0.01511,0.01549,0.01643,0.01689,0.01738,0.0171,0.01708,0.01728,0.01797
Nigeria,0.42228,0.51801,0.51696,0.51838,0.55649,0.59952,0.58736,0.61963,0.66323,0.71807,0.69886,0.7694,0.78635,0.74862,0.7432,0.83268,0.8494,0.85069,0.81581,0.81752,0.80941,0.91104,0.93475,0.97853,0.98351,1.09125,1.03987,0.99648,1.08778
Reunion,0.01195,0.01261,0.01375,0.01546,0.01624,0.01672,0.01671,0.01822,0.01952,0.02169,0.02318,0.02508,0.02604,0.02653,0.03262,0.03241,0.03247,0.03301,0.04067,0.0407,0.04209,0.04386,0.04384,0.04391,0.04435,0.04518,0.04571,0.04686,0.0472
Rwanda,0.00354,0.00645,0.00646,0.00729,0.01097,0.01128,0.01098,0.0113,0.01132,0.01174,0.01199,0.01214,0.01245,0.00873,0.01151,0.01169,0.01151,0.01186,0.01221,0.01184,0.01234,0.01233,0.01248,0.01278,0.01204,0.01242,0.0124,0.01099,0.01072
Saint Helena,0,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00009,0.00009,0.00009,0.00009,0.00004,0.00004,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00031,0.00018,0.00018,0.00018,0.00013,0.00018,0.00016,0.00018,0.00019
Sao Tome and Principe,0.00054,0.00054,0.00055,0.00053,0.00055,0.00057,0.00056,0.00057,0.00057,0.00057,0.00105,0.0011,0.00114,0.00109,0.00119,0.00119,0.00118,0.00119,0.00118,0.0012,0.00138,0.00132,0.00139,0.0014,0.00138,0.00141,0.00158,0.00194,0.00196
Senegal,0.03738,0.03627,0.03707,0.03543,0.04209,0.0413,0.04079,0.04109,0.03516,0.03659,0.0362,0.03351,0.04077,0.0346,0.05134,0.05529,0.05549,0.05101,0.05425,0.05971,0.06364,0.06361,0.06653,0.06847,0.07827,0.08369,0.08578,0.08727,0.08818
Seychelles,0.00316,0.00253,0.00234,0.00405,0.00426,0.00437,0.00438,0.00467,0.00647,0.00686,0.0063,0.00678,0.00697,0.0071,0.00725,0.00729,0.00727,0.00782,0.00782,0.00782,0.0081,0.00835,0.01215,0.01185,0.01228,0.01209,0.016,0.01338,0.01402
Sierra Leone,0.01057,0.01063,0.01141,0.01076,0.01071,0.01167,0.01259,0.01352,0.01472,0.01469,0.01482,0.01553,0.01135,0.00935,0.01052,0.01216,0.01213,0.01243,0.01247,0.01247,0.01335,0.01366,0.01389,0.01421,0.01682,0.01674,0.01673,0.01786,0.01807
Somalia,0.01656,0.01929,0.01893,0.0185,0.0192,0.01888,0.02008,0.0149,0.01508,0.01535,0.01402,0.00835,0.00776,0.00767,0.00803,0.00803,0.00803,0.00803,0.00803,0.00803,0.00998,0.00998,0.00998,0.01009,0.01007,0.01021,0.01071,0.01209,0.01217
South Africa,2.72828,2.95592,3.15803,3.18719,3.4528,3.51604,3.61766,3.66845,3.78098,3.55047,3.52342,3.67624,3.76193,3.67461,4.08411,4.10982,4.16523,4.55685,4.34917,4.46314,4.58358,4.64693,4.53562,4.87588,5.21486,5.12231,5.29131,5.52167,5.71413
Sudan,0.05224,0.05595,0.06067,0.05867,0.05436,0.06154,0.06886,0.06705,0.07187,0.06886,0.06361,0.08789,0.08185,0.07011,0.07032,0.06599,0.06661,0.06814,0.06845,0.07434,0.10275,0.1303,0.13473,0.14868,0.15979,0.17172,0.1916,0.18674,0.18862
Swaziland,0.01009,0.00962,0.00926,0.00736,0.00863,0.01076,0.01038,0.01143,0.01206,0.01258,0.01225,0.01219,0.0122,0.01112,0.01459,0.01567,0.01456,0.01507,0.01635,0.01804,0.01842,0.01833,0.02358,0.02057,0.02081,0.01656,0.01763,0.01972,0.01947
Tanzania,0.03903,0.04366,0.04296,0.03983,0.04243,0.04312,0.04934,0.04561,0.04835,0.04975,0.0545,0.04977,0.05194,0.05324,0.04931,0.04887,0.05138,0.04795,0.05498,0.0582,0.0582,0.06861,0.07525,0.07626,0.08168,0.09101,0.09389,0.11033,0.11586
Togo,0.00961,0.00903,0.00899,0.00932,0.01099,0.01074,0.00911,0.00872,0.00909,0.01039,0.01032,0.01682,0.01229,0.01038,0.01126,0.01229,0.01183,0.01119,0.01226,0.01739,0.02191,0.01588,0.02058,0.03206,0.03397,0.03354,0.03483,0.03759,0.04064
Tunisia,0.12811,0.14107,0.13426,0.1532,0.16706,0.17057,0.18062,0.16845,0.17914,0.20375,0.20195,0.1976,0.19069,0.19936,0.2375,0.21225,0.23096,0.26778,0.28711,0.28948,0.30097,0.33624,0.33846,0.33076,0.33363,0.35825,0.33343,0.31924,0.34927
Uganda,0.01594,0.01135,0.01296,0.01232,0.01351,0.01423,0.01522,0.01369,0.01772,0.01779,0.01941,0.0209,0.02324,0.02214,0.02433,0.02472,0.02541,0.02708,0.02918,0.02925,0.03282,0.03501,0.0365,0.03925,0.04059,0.04158,0.03806,0.04245,0.04367
Western Sahara,0.00236,0.00235,0.00264,0.00256,0.00265,0.0027,0.00271,0.00279,0.00283,0.00283,0.00296,0.00296,0.003,0.00281,0.00292,0.00313,0.00313,0.00313,0.00313,0.00313,0.0036,0.00366,0.00366,0.00366,0.00364,0.00412,0.00365,0.00383,0.00425
Zambia,0.13258,0.13411,0.13764,0.13438,0.13155,0.13022,0.12981,0.12025,0.12248,0.10338,0.1115,0.1076,0.11238,0.10341,0.1003,0.10138,0.09752,0.10684,0.10194,0.09909,0.09924,0.10487,0.10799,0.11254,0.11469,0.12143,0.12701,0.12573,0.12636
Zimbabwe,0.15517,0.15579,0.1451,0.16407,0.155,0.15409,0.18422,0.19702,0.20195,0.20237,0.21972,0.23169,0.22751,0.20708,0.20003,0.19887,0.20497,0.19993,0.19983,0.22761,0.21215,0.19942,0.19982,0.19783,0.17606,0.19416,0.17486,0.17092,0.16384
Afghanistan,0.02698,0.03036,0.03234,0.0387,0.03913,0.03872,0.03976,0.06343,0.11162,0.1103,0.10904,0.04788,0.03233,0.03116,0.03132,0.02652,0.02645,0.02533,0.02461,0.02484,0.02384,0.01556,0.01823,0.01629,0.01612,0.01779,0.0175,0.01734,0.01778
American Samoa,0.00593,0.00692,0.00962,0.00603,0.00695,0.00652,0.00673,0.00686,0.00676,0.00776,0.00807,0.00807,0.00827,0.00797,0.00803,0.0079,0.00801,0.00803,0.00803,0.00803,0.00784,0.00786,0.00799,0.00799,0.00795,0.00846,0.00861,0.00922,0.00934
Australia,2.74246,2.82434,2.89403,2.95862,3.23364,3.26488,3.24897,3.43487,3.41936,3.6185,3.71215,3.70818,3.81227,3.91532,3.92127,4.03594,4.21447,4.54991,4.58203,4.80232,4.83222,5.00307,5.0721,5.11394,5.28675,5.42012,5.4554,5.5697,5.7573
Bangladesh,0.12797,0.13932,0.15025,0.13998,0.16701,0.17329,0.18801,0.20723,0.22947,0.25175,0.25342,0.25726,0.28648,0.29877,0.33952,0.38176,0.38902,0.40315,0.41911,0.46537,0.50385,0.55255,0.58398,0.63485,0.67089,0.7089,0.76983,0.8025,0.87345
Bhutan,0.00015,0.00045,0.00058,0.00053,0.00048,0.00062,0.00278,0.00965,0.01213,0.01228,0.01303,0.01324,0.01349,0.01323,0.01482,0.01579,0.01751,0.01757,0.01704,0.0172,0.01725,0.01889,0.02098,0.02312,0.02144,0.02348,0.03665,0.05119,0.0549
Brunei,0.08202,0.08518,0.09301,0.07288,0.06434,0.07673,0.05094,0.08183,0.07133,0.08277,0.07026,0.03869,0.05491,0.04865,0.05032,0.06192,0.05773,0.06159,0.05578,0.06268,0.0649,0.07311,0.08476,0.09008,0.10042,0.11553,0.17646,0.18178,0.18611
Burma (Myanmar),0.0695,0.07165,0.07937,0.09098,0.09891,0.10365,0.08891,0.08835,0.08415,0.08858,0.08565,0.08442,0.08816,0.09019,0.1107,0.11753,0.11905,0.12728,0.13868,0.14005,0.15604,0.15259,0.17845,0.19455,0.21095,0.27765,0.25538,0.27077,0.26486
Cambodia,0.00455,0.0048,0.00534,0.00562,0.00614,0.00626,0.00653,0.00663,0.00691,0.00694,0.00702,0.00722,0.00744,0.00744,0.00763,0.02116,0.02339,0.02741,0.03201,0.03263,0.0341,0.03979,0.04278,0.04662,0.05206,0.05531,0.06086,0.06576,0.06603
China,17.28743,17.19205,17.93384,19.00967,20.45343,22.00581,23.23741,24.75911,26.4463,26.95795,26.9986,28.1579,29.26608,30.03294,34.11046,34.7564,35.55399,37.74732,37.03964,36.51251,36.35203,38.41214,43.90988,51.15543,62.91903,68.24567,72.8906,78.00135,85.05974
Cook Islands,0.00042,0.00084,0.00082,0.00083,0.00083,0.00083,0.00076,0.00076,0.00076,0.00067,0.00067,0.00056,0.00067,0.00067,0.00067,0.00067,0.00067,0.00067,0.00067,0.00067,0.0008,0.0008,0.0008,0.0008,0.00089,0.00098,0.00103,0.00096,0.00124
Fiji,0.01529,0.01577,0.01546,0.0132,0.01451,0.01463,0.01745,0.01453,0.01477,0.01697,0.01874,0.01599,0.01639,0.01556,0.01799,0.01918,0.01975,0.01967,0.01993,0.0221,0.02547,0.02721,0.03178,0.03956,0.04273,0.04231,0.04413,0.04251,0.03994
French Polynesia,0.00312,0.00461,0.00624,0.00842,0.01271,0.01117,0.01396,0.01424,0.01435,0.01439,0.01375,0.01363,0.01333,0.01245,0.01081,0.01142,0.01148,0.01149,0.01167,0.01102,0.01072,0.01065,0.01126,0.01327,0.01339,0.01431,0.01559,0.01554,0.01537
Guam,0.05329,0.0745,0.05799,0.05546,0.01909,0.0094,0.01564,0.01085,0.01126,0.01071,0.02594,0.02942,0.0351,0.04637,0.06643,0.05038,0.04479,0.05113,0.0422,0.047,0.03928,0.04231,0.02882,0.0331,0.0263,0.02938,0.03058,0.02752,0.02381
